"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM10","PM25"
"11/05/2021","20","PM10","","54-009-0011","AQS","20","."
"11/06/2021","47","PM2.5","","54-009-0011","AQS","17","47"
"11/07/2021","29","PM10","","54-009-0011","AQS","29","."
"11/08/2021","30","PM10","","54-009-0011","AQS","30","."
"11/09/2021","68","PM2.5","","54-009-0011","AQS","27","68"
"11/10/2021","26","PM10","","54-009-0011","AQS","26","."
"11/11/2021","19","PM10","","54-009-0011","AQS","19","."
"11/12/2021","17","PM2.5","","54-009-0005","AQS","10","17"
"11/13/2021","6","PM10","","54-009-0011","AQS","6","."
"11/14/2021","6","PM10","","54-009-0011","AQS","6","."
"11/15/2021","23","PM2.5","","54-009-0005","AQS","5","23"
"11/18/2021","27","PM2.5","","54-009-0005","AQS","9","27"
"11/19/2021","9","PM10","","54-009-0011","AQS","9","."
"11/20/2021","15","PM10","","54-009-0011","AQS","15","."
"11/21/2021","54","PM2.5","","54-009-0011","AQS","19","54"
"11/22/2021","10","PM10","","54-009-0011","AQS","10","."
"11/23/2021","12","PM10","","54-009-0011","AQS","12","."
"11/24/2021","47","PM2.5","","54-009-0011","AQS","20","47"
"11/25/2021","11","PM10","","54-009-0011","AQS","11","."
"11/26/2021","4","PM10","","54-009-0011","AQS","4","."
"11/27/2021","24","PM2.5","","54-009-0005","AQS","8","24"
"11/28/2021","13","PM10","","54-009-0011","AQS","13","."
"11/29/2021","7","PM10","","54-009-0011","AQS","7","."
"11/30/2021","29","PM2.5","","54-009-0005","AQS","15","29"
"12/01/2021","19","PM10","","54-009-0011","AQS","19","."
"12/02/2021","18","PM10","","54-009-0011","AQS","18","."
"12/03/2021","16","PM2.5","","54-009-0005","AQS","6","16"
"12/04/2021","10","PM10","","54-009-0011","AQS","10","."
"12/05/2021","15","PM10","","54-009-0011","AQS","15","."
"12/06/2021","37","PM2.5","","54-009-0005","AQS","10","37"
"12/07/2021","11","PM10","","54-009-0011","AQS","11","."
"12/08/2021","14","PM10","","54-009-0011","AQS","14","."
"12/09/2021","50","PM2.5","","54-009-0005","AQS","19","50"
"12/10/2021","19","PM10","","54-009-0011","AQS","19","."
"12/11/2021","10","PM10","","54-009-0011","AQS","10","."
"12/12/2021","18","PM2.5","","54-009-0005","AQS","6","18"
"12/13/2021","15","PM10","","54-009-0011","AQS","15","."
"12/14/2021","26","PM10","","54-009-0011","AQS","26","."
"12/15/2021","53","PM2.5","","54-009-0005","AQS","16","53"
"12/16/2021","15","PM10","","54-009-0011","AQS","15","."
"12/17/2021","13","PM10","","54-009-0011","AQS","13","."
"12/18/2021","29","PM2.5","","54-009-0005","AQS","9","29"
"12/19/2021","6","PM10","","54-009-0011","AQS","6","."
"12/20/2021","13","PM10","","54-009-0011","AQS","13","."
"12/21/2021","54","PM2.5","","54-009-0011","AQS","20","54"
"12/22/2021","14","PM10","","54-009-0011","AQS","14","."
"12/23/2021","18","PM10","","54-009-0011","AQS","18","."
"12/24/2021","22","PM2.5","","54-009-0011","AQS","11","22"
"12/25/2021","8","PM10","","54-009-0011","AQS","8","."
"12/26/2021","15","PM10","","54-009-0011","AQS","15","."
"12/27/2021","44","PM2.5","","54-009-0005","AQS","15","44"
"12/28/2021","11","PM10","","54-009-0011","AQS","11","."
"12/29/2021","10","PM10","","54-009-0011","AQS","10","."
"12/30/2021","45","PM2.5","","54-009-0005","AQS","18","45"
"12/31/2021","15","PM10","","54-009-0011","AQS","15","."
