"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM10","PM25"
"01/31/2009","53","PM2.5","","54-009-0005","AQS","5","13","53"
"02/01/2009","19","PM10","","54-009-0005","AQS","5","19","."
"02/02/2009","15","PM10","","54-009-0011","AQS","6","15","."
"02/03/2009","64","PM2.5","","54-009-0005","AQS","6","12","64"
"02/04/2009","10","PM10","","54-009-0011","AQS","5","10","."
"02/05/2009","11","PM10","","54-009-0011","AQS","5","11","."
"02/06/2009","66","PM2.5","","54-009-0011","AQS","7","24","66"
"02/07/2009","23","PM10","","54-009-0011","AQS","8","23","."
"02/08/2009","19","PM10","","54-009-0011","AQS","5","19","."
"02/09/2009","108","PM2.5","","54-009-0005","AQS","8","40","108"
"02/10/2009","34","PM10","","54-009-0011","AQS","8","34","."
"02/11/2009","19","PM10","","54-009-0011","AQS","3","19","."
"02/12/2009","39","PM2.5","","54-009-0005","AQS","3","35","39"
"02/13/2009","11","PM10","","54-009-0011","AQS","5","11","."
"02/14/2009","12","PM10","","54-009-0011","AQS","6","12","."
"02/15/2009","31","PM2.5","","54-009-0005","AQS","3","9","31"
"02/16/2009","8","PM10","","54-009-0011","AQS","3","8","."
"02/17/2009","19","PM10","","54-009-0011","AQS","7","19","."
"02/18/2009","41","PM2.5","","54-009-0005","AQS","5","13","41"
"02/19/2009","8","PM10","","54-009-0011","AQS","3","8","."
"02/20/2009","8","PM10","","54-009-0011","AQS","3","8","."
"02/21/2009","56","PM2.5","","54-009-0011","AQS","6","21","56"
"02/22/2009","9","PM10","","54-009-0011","AQS","3","9","."
"02/23/2009","6","PM10","","54-009-0011","AQS","3","6","."
"02/24/2009","61","PM2.5","","54-009-0005","AQS","6","23","61"
"02/25/2009","23","PM10","","54-009-0011","AQS","6","23","."
"02/26/2009","31","PM10","","54-009-0011","AQS","5","31","."
"02/27/2009","45","PM2.5","","54-009-0005","AQS","5","13","45"
"02/28/2009","9","PM10","","54-009-0011","AQS","5","9","."
"03/01/2009","8","PM10","","54-009-0011","AQS","5","8","."
"03/02/2009","19","PM2.5","","54-009-0005","AQS","3","19","19"
"03/03/2009","9","PM10","","54-009-0011","AQS","5","9","."
"03/04/2009","27","PM10","","54-009-0011","AQS","6","27","."
"03/05/2009","73","PM2.5","","54-009-0011","AQS","9","41","73"
"03/06/2009","39","PM10","","54-009-0011","AQS","5","39","."
"03/07/2009","22","PM10","","54-009-0011","AQS","3","22","."
"03/08/2009","46","PM2.5","","54-009-0005","AQS","3","14","46"
"03/09/2009","6","PM10","","54-009-0011","AQS","5","6","."
"03/10/2009","20","PM10","","54-009-0011","AQS","5","20","."
"03/11/2009","24","PM2.5","","54-009-0005","AQS","5","19","24"
"03/12/2009","9","PM10","","54-009-0011","AQS","5","9","."
"03/13/2009","17","PM10","","54-009-0011","AQS","5","17","."
"03/14/2009","57","PM2.5","","54-009-0005","AQS","6","22","57"
"03/15/2009","22","PM10","","54-009-0011","AQS","6","22","."
"03/16/2009","25","PM10","","54-009-0011","AQS","6","25","."
"03/17/2009","71","PM2.5","","54-009-0011","AQS","6","31","71"
"03/18/2009","35","PM10","","54-009-0011","AQS","6","35","."
"03/19/2009","8","PM10","","54-009-0011","AQS","3","8","."
"03/20/2009","35","PM2.5","","54-009-0005","AQS","5","12","35"
"03/21/2009","19","PM10","","54-009-0011","AQS","6","19","."
"03/22/2009","27","PM10","","54-009-0011","AQS","8","27","."
"03/23/2009","40","PM2.5","","54-009-0005","AQS","5","14","40"
"03/24/2009","11","PM10","","54-009-0011","AQS","5","11","."
"03/25/2009","15","PM10","","54-009-0011","AQS","5","15","."
"03/26/2009","40","PM2.5","","54-009-0011","AQS","5","9","40"
"03/27/2009","15","PM10","","54-009-0011","AQS","6","15","."
"03/28/2009","8","PM10","","54-009-0011","AQS","5","8","."
"03/29/2009","21","PM2.5","","54-009-0005","AQS","3","6","21"
"03/30/2009","9","PM10","","54-009-0011","AQS","3","9","."
"03/31/2009","14","PM10","","54-009-0011","AQS","6","14","."
"04/01/2009","35","PM2.5","","54-009-0005","AQS","5","14","35"
