"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"12/05/2013","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","."
"12/06/2013","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","3"
"12/07/2013","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","."
"12/08/2013","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","."
"12/09/2013","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","2"
"12/10/2013","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","."
"12/11/2013","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","."
"12/12/2013","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","11"
"12/13/2013","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","."
"12/14/2013","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","."
"12/15/2013","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","12"
"12/16/2013","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","."
"12/17/2013","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","."
"12/18/2013","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","5"
"12/19/2013","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","."
"12/20/2013","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","."
"12/21/2013","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","1"
"12/22/2013","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","."
"12/23/2013","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","."
"12/24/2013","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","35","5"
"12/25/2013","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","."
"12/26/2013","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","."
"12/27/2013","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","9"
"12/28/2013","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","."
"12/29/2013","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","43","."
"12/30/2013","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","11"
"12/31/2013","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","."
