"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25"
"11/22/2005","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","36",".","."
"11/23/2005","35","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","35",".","."
"11/24/2005","29","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","29","21","9"
"11/25/2005","27","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","27",".","."
"11/26/2005","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","30",".","."
"11/27/2005","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","33",".","3"
"11/28/2005","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","31",".","."
"11/29/2005","27","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","27",".","."
"11/30/2005","20","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","20","11","2"
"12/01/2005","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","31",".","."
"12/02/2005","27","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","27",".","."
"12/03/2005","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","30",".","3"
"12/04/2005","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","31",".","."
"12/05/2005","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","30",".","."
"12/06/2005","26","PM10","South Lake Tahoe-Sandy Way","06-017-0011","AQS","7","23","26","10"
"12/07/2005","24","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","7","24",".","."
"12/08/2005","22","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","6","22",".","."
"12/09/2005","24","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","24",".","3"
"12/10/2005","28","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","28",".","."
"12/11/2005","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","30",".","."
"12/12/2005","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","30","19","5"
"12/13/2005","25","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","25",".","."
"12/14/2005","26","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","7","26",".","."
"12/15/2005","29","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","7","29",".","6"
"12/16/2005","18","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","6","18",".","."
"12/17/2005","30","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","6","30",".","."
"12/18/2005","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","32","4","0"
"12/19/2005","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","32",".","."
"12/20/2005","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","32",".","."
"12/21/2005","27","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","27",".","1"
"12/22/2005","23","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","23",".","."
"12/23/2005","21","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","21",".","."
"12/24/2005","19","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","19","18","6"
"12/25/2005","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","40",".","."
"12/26/2005","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","40",".","."
"12/27/2005","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","33",".","1"
"12/28/2005","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","33",".","."
"12/29/2005","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","31",".","."
"12/30/2005","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","32","5","0"
"12/31/2005","32","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","32",".","."
