"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/03/2018","84","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"01/04/2018","64","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"01/05/2018","109","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"01/06/2018","85","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"01/07/2018","51","NO2","Calexico-Ethel Street","06-025-0005","AQS"
"01/08/2018","113","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"01/09/2018","58","PM10","Brawley-220 Main Street","06-025-0007","AQS"
"01/10/2018","48","NO2","Calexico-Ethel Street","06-025-0005","AQS"
"01/11/2018","54","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"01/12/2018","56","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"01/13/2018","47","NO2","Calexico-Ethel Street","06-025-0005","AQS"
"01/14/2018","51","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"01/15/2018","52","NO2","Calexico-Ethel Street","06-025-0005","AQS"
"01/16/2018","69","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"01/17/2018","64","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"01/18/2018","73","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"01/19/2018","83","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"01/20/2018","136","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"01/21/2018","52","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"01/22/2018","42","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"01/23/2018","61","PM2.5","Brawley-220 Main Street","06-025-0007","AQS"
"01/24/2018","50","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"01/25/2018","69","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"01/26/2018","35","Ozone","El Centro-9th Street","06-025-1003","AQS"
"01/27/2018","39","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"01/28/2018","38","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"01/29/2018","51","PM2.5","Brawley-220 Main Street","06-025-0007","AQS"
"01/30/2018","58","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"01/31/2018","63","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"02/01/2018","74","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"02/02/2018","110","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"02/03/2018","76","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"02/04/2018","61","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"02/05/2018","104","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"02/06/2018","68","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
"02/07/2018","53","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"02/08/2018","65","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"02/09/2018","80","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"02/10/2018","57","PM2.5","El Centro-9th Street","06-025-1003","AQS"
"02/11/2018","109","PM10","Calexico-Ethel Street","06-025-0005","AQS"
"02/12/2018","83","PM10","Brawley-220 Main Street","06-025-0007","AQS"
"02/13/2018","40","Ozone","Calexico-Ethel Street","06-025-0005","AQS"
"02/14/2018","66","PM2.5","Calexico-Ethel Street","06-025-0005","AQS"
