date,california,texas,n_dakota,wyoming,pennsylvania,w_virginia,oklahoma,florida,new_york,ohio
2012/9/30,70.44285714,49.15777778,40.82222222,47.80833333,44.37777778,36.78055556,56.68888889,34.14,39.36,47.01666667
2012/10/31,53.28110599,44.6827957,29.32258065,35.37096774,40.61290323,29.91935484,42.23655914,38.85806452,33.41451613,40.54032258
2012/11/30,46.34285714,44.46666667,32.28333333,35.01666667,53.35,36.86388889,44.88888889,43.19333333,40.7,53.40833333
2012/12/31,43.81105991,38.25268817,33.48387097,32.91397849,52.16666667,32.85752688,44.86021505,36.08387097,41.11612903,46.7983871
2013/1/31,50.26267281,37.27956989,34.88172043,37.33870968,55.1827957,35.82795699,42.69892473,42.36612903,47.60806452,49.36290323
2013/2/28,45.81632653,42.375,37.88095238,39.74107143,46.73809524,34.64880952,40.6547619,40.57857143,39.25178571,48.01785714
2013/3/31,46.42396313,48.9516129,45.8172043,42.09677419,42.46236559,31.48924731,48.90322581,54.50322581,38.7483871,46.12903226
2013/4/30,53.53333333,48.61111111,44.64444444,44.35833333,52.47777778,40.36388889,50.64444444,41.45333333,44.90666667,49.65
2013/5/31,65.41474654,50.22043011,42.69892473,46.92741935,52.0483871,38.28225806,53.53225806,46.92903226,47.29032258,53.01612903
2013/6/30,61.59047619,48.53333333,37.63333333,50.55833333,55.99444444,43.15833333,56.88333333,39.28,50.48666667,63.41666667
2013/7/31,69.51612903,50.09677419,41.01075269,47.94354839,52.7688172,37.98655914,53.58602151,36.81935484,52.73548387,50.62903226
2013/8/31,63.4516129,50.4516129,42.53763441,49.08870968,54.26344086,39.23655914,51.53763441,36.52903226,47.71612903,56.20967742
2013/9/30,57.02857143,45.11111111,32.16666667,37.55833333,47.92222222,35.73333333,58.64444444,36.6,39.42666667,52.475
2013/10/31,58.47926267,38.26021505,28.55913978,32.08870968,44.68817204,30.16129032,37.53763441,37.80645161,37.28870968,44.07258065
2013/11/30,51.57142857,35.07777778,31.22222222,33.71944444,40.93333333,25.87777778,34.82222222,35.60666667,34.00666667,39.79166667
2013/12/31,57.24423963,38.68817204,31.69892473,33.4516129,59.69354839,32.61021505,42.24731183,34.7483871,45.41935484,49.02419355
2014/1/31,58.25806452,35.45698925,35.12903226,36.13709677,54.75806452,29.83333333,34.46236559,37.89677419,47.63870968,43.90860215
2014/2/28,47.65306122,38.46428571,35.60714286,35.65178571,60.45238095,38.30952381,46.13095238,39.30714286,49.40714286,60.02678571
2014/3/31,49.74193548,42.18817204,37.53763441,39.01612903,51.60752688,33.83064516,49.6344086,44.48387097,43.32741935,52.95430108
2014/4/30,57.40952381,47.54444444,41.55555556,45.075,48.91111111,39.35555556,53.15555556,45.56,44.14,54.78333333
2014/5/31,67.17050691,50.97311828,44.46236559,43.97580645,52.22043011,38.84677419,49.01075269,51.10967742,45.81935484,54.12903226
2014/6/30,70.3952381,45.33888889,37.53333333,45.28333333,54.33888889,41.23888889,47.34444444,45.70666667,46.28666667,59.96666667
