"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25","NO2"
"11/11/2016","53","PM2.5","Dallas Hinton","48-113-0069","AQS","10","32","53","36"
"11/12/2016","45","PM2.5","Dallas Hinton","48-113-0069","AQS","10","32","45","25"
"11/13/2016","48","PM2.5","Dallas Hinton","48-113-0069","AQS","5","38","48","21"
"11/14/2016","46","PM2.5","Dallas Hinton","48-113-0069","AQS","3","32","46","29"
"11/15/2016","54","NO2","Dallas LBJ Freeway","48-113-1067","AQS","7","40","45","54"
"11/16/2016","40","PM2.5","Dallas Hinton","48-113-0069","AQS","8","40","40","29"
"11/17/2016","38","Ozone","Dallas Hinton","48-113-0069","AQS","2","38","29","16"
"11/18/2016","30","Ozone","Dallas Hinton","48-113-0069","AQS","1","30","16","13"
"11/19/2016","32","Ozone","Dallas Hinton","48-113-0069","AQS","7","32","29","31"
"11/20/2016","45","PM2.5","Dallas Hinton","48-113-0069","AQS","14","35","45","27"
"11/21/2016","38","Ozone","Dallas Hinton","48-113-0069","AQS","2","38","24","25"
"11/22/2016","28","Ozone","Dallas North #2","48-113-0075","AQS","2","28","21","14"
"11/23/2016","30","NO2","Dallas LBJ Freeway","48-113-1067","AQS","8","27","23","30"
"11/24/2016","48","PM2.5","Dallas Hinton","48-113-0069","AQS","13","38","48","33"
"11/25/2016","41","PM2.5","Dallas Hinton","48-113-0069","AQS","6","21","41","27"
"11/26/2016","57","PM2.5","Convention Center","48-113-0050","AQS","5","24","57","18"
"11/27/2016","57","PM2.5","Dallas Hinton","48-113-0069","AQS","3","34","57","8"
"11/28/2016","33","NO2","Dallas Hinton","48-113-0069","AQS","3","32","20","33"
"11/29/2016","31","Ozone","Dallas Hinton","48-113-0069","AQS","3","31","15","27"
"11/30/2016","36","NO2","Dallas LBJ Freeway","48-113-1067","AQS","8","31","22","36"
"12/01/2016","36","NO2","Dallas Hinton","48-113-0069","AQS","10","33","32","36"
"12/02/2016","43","PM2.5","Dallas Hinton","48-113-0069","AQS","3","31","43","29"
"12/03/2016","27","Ozone","Dallas Hinton","48-113-0069","AQS","2","27","23","16"
"12/04/2016","22","Ozone","Dallas Hinton","48-113-0069","AQS","2","22","18","14"
"12/05/2016","38","PM2.5","Dallas Hinton","48-113-0069","AQS","3","12","38","22"
"12/06/2016","33","PM2.5","Dallas Hinton","48-113-0069","AQS","3","17","33","19"
"12/07/2016","37","PM2.5","Dallas Hinton","48-113-0069","AQS","5","19","37","25"
"12/08/2016","21","PM2.5","Dallas Hinton","48-113-0069","AQS","2","20","21","21"
"12/09/2016","29","PM2.5","Dallas Hinton","48-113-0069","AQS","3","17","29","29"
"12/10/2016","35","PM2.5","Dallas Hinton","48-113-0069","AQS","3","22","35","21"
"12/11/2016","25","Ozone","Dallas Hinton","48-113-0069","AQS","2","25","24","21"
"12/12/2016","47","PM2.5","Dallas Hinton","48-113-0069","AQS","3","10","47","22"
"12/13/2016","55","PM2.5","Dallas Hinton","48-113-0069","AQS","3","18","55","24"
"12/14/2016","65","PM2.5","Dallas Hinton","48-113-0069","AQS","3","8","65","17"
"12/15/2016","61","PM2.5","Dallas Hinton","48-113-0069","AQS","3","16","61","20"
"12/16/2016","38","PM2.5","Dallas Hinton","48-113-0069","AQS","2","17","38","12"
"12/17/2016","30","PM2.5","Convention Center","48-113-0050","AQS","2","26","30","11"
"12/18/2016","31","Ozone","Dallas Hinton","48-113-0069","AQS","2","31","19","12"
"12/19/2016","50","PM2.5","Dallas Hinton","48-113-0069","AQS","5","23","50","36"
"12/20/2016","52","PM2.5","Convention Center","48-113-0050","AQS","8","26","52","39"
"12/21/2016","41","NO2","Dallas North #2","48-113-0075","AQS","6","19","36","41"
"12/22/2016","35","PM2.5","Dallas Hinton","48-113-0069","AQS","6","26","35","33"
"12/23/2016","75","PM2.5","Dallas Hinton","48-113-0069","AQS","8","11","75","25"
"12/24/2016","59","PM2.5","Dallas Hinton","48-113-0069","AQS","8","17","59","14"
"12/25/2016","27","PM2.5","Dallas Hinton","48-113-0069","AQS","1","23","27","1"
"12/26/2016","33","NO2","Dallas LBJ Freeway","48-113-1067","AQS","5","30","30","33"
"12/27/2016","35","NO2","Dallas LBJ Freeway","48-113-1067","AQS","6","23","26","35"
"12/28/2016","44","PM2.5","Dallas Hinton","48-113-0069","AQS","6","30","44","28"
"12/29/2016","35","Ozone","Dallas Hinton","48-113-0069","AQS","2","35","12","30"
"12/30/2016","32","NO2","Dallas LBJ Freeway","48-113-1067","AQS","5","27","19","32"
"12/31/2016","37","NO2","Dallas LBJ Freeway","48-113-1067","AQS","2","31","20","37"
