"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"11/07/2001","71","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","8","71",".","68","62"
"11/08/2001","71","PM2.5","Convention Center","48-113-0050","AQS","5","40",".","71","60"
"11/09/2001","73","PM2.5","Convention Center","48-113-0050","AQS","5","15","39","73","24"
"11/10/2001","79","PM2.5","Convention Center","48-113-0050","AQS","9","15",".","79","37"
"11/11/2001","112","PM2.5","Convention Center","48-113-0050","AQS","8","19",".","112","31"
"11/12/2001","110","PM2.5","SOUTH OF COIT RD. & CHURCHILL WAY INTERSECTION","48-113-0035","AQS","6","43",".","110","32"
"11/13/2001","89","PM2.5","Convention Center","48-113-0050","AQS","3","46",".","89","45"
"11/14/2001","84","PM2.5","Convention Center","48-113-0050","AQS","5","44",".","84","30"
"11/15/2001","64","PM2.5","BOY'S  CLUB","48-113-0057","AQS","5","32","32","64","43"
"11/16/2001","59","PM2.5","Convention Center","48-113-0050","AQS","5","35",".","59","34"
"11/17/2001","69","PM2.5","EAST OF ATLAS & DENLEY STREETS INTERSECTION","48-113-0020","AQS","3","51",".","69","52"
"11/18/2001","70","PM2.5","Convention Center","48-113-0050","AQS","5","45",".","70","32"
"11/19/2001","39","PM2.5","Convention Center","48-113-0050","AQS","1","24",".","39","24"
"11/20/2001","52","PM2.5","EAST OF ATLAS & DENLEY STREETS INTERSECTION","48-113-0020","AQS","13","24",".","52","43"
"11/21/2001","61","PM2.5","BOY'S  CLUB","48-113-0057","AQS","20","30",".","61","46"
"11/22/2001","47","PM2.5","Convention Center","48-113-0050","AQS","2","41",".","47","30"
"11/23/2001","43","PM2.5","Convention Center","48-113-0050","AQS","2","33",".","43","11"
"11/24/2001","36","NO2","Dallas Hinton","48-113-0069","AQS","5","31",".","15","36"
"11/25/2001","40","PM2.5","Convention Center","48-113-0050","AQS","17","39",".","40","33"
"11/26/2001","37","NO2","Dallas Redbird Airport Executive","48-113-0087","AQS","3","29",".","34","37"
"11/27/2001","19","Ozone","Dallas North #2","48-113-0075","AQS","2","19","17","18","14"
"11/28/2001","21","PM2.5","EAST OF ATLAS & DENLEY STREETS INTERSECTION","48-113-0020","AQS","1","15",".","21","15"
"11/29/2001","48","PM2.5","Convention Center","48-113-0050","AQS","11","16",".","48","38"
"11/30/2001","45","PM2.5","Convention Center","48-113-0050","AQS","13","24",".","45","42"
"12/01/2001","57","PM2.5","Convention Center","48-113-0050","AQS","22","32",".","57","55"
"12/02/2001","44","PM2.5","EAST OF ATLAS & DENLEY STREETS INTERSECTION","48-113-0020","AQS","10","39",".","44","42"
"12/03/2001","71","PM2.5","SOUTH OF COIT RD. & CHURCHILL WAY INTERSECTION","48-113-0035","AQS","3","24","31","71","25"
"12/04/2001","72","PM2.5","Convention Center","48-113-0050","AQS","5","35",".","72","26"
"12/05/2001","53","PM2.5","Convention Center","48-113-0050","AQS","3","31",".","53","27"
"12/06/2001","56","PM2.5","BOY'S  CLUB","48-113-0057","AQS","15","15",".","56","47"
"12/07/2001","45","PM2.5","Convention Center","48-113-0050","AQS","15","18",".","45","22"
"12/08/2001","31","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","2","31",".","14","23"
"12/09/2001","46","NO2","Dallas Hinton","48-113-0069","AQS","11","32","20","38","46"
"12/10/2001","66","PM2.5","Convention Center","48-113-0050","AQS","25","31",".","66","45"
"12/11/2001","61","PM2.5","Convention Center","48-113-0050","AQS","5","19",".","61","47"
"12/12/2001","60","PM2.5","EAST OF ATLAS & DENLEY STREETS INTERSECTION","48-113-0020","AQS","17","9",".","60","37"
"12/13/2001","51","PM2.5","Convention Center","48-113-0050","AQS","20","6",".","51","37"
