"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"02/09/2021","56","PM2.5","Kittanning","42-005-0001","AQS","33","56"
"02/10/2021","50","PM2.5","Kittanning","42-005-0001","AQS","38","50"
"02/11/2021","40","Ozone","Kittanning","42-005-0001","AQS","40","34"
"02/12/2021","50","PM2.5","Kittanning","42-005-0001","AQS","35","50"
"02/13/2021","55","PM2.5","Kittanning","42-005-0001","AQS","33","55"
"02/14/2021","47","PM2.5","Kittanning","42-005-0001","AQS","36","47"
"02/15/2021","35","PM2.5","Kittanning","42-005-0001","AQS","32","35"
"02/16/2021","32","Ozone","Kittanning","42-005-0001","AQS","32","24"
"02/17/2021","41","PM2.5","Kittanning","42-005-0001","AQS","36","41"
"02/18/2021","41","PM2.5","Kittanning","42-005-0001","AQS","32","41"
"02/19/2021","58","PM2.5","Kittanning","42-005-0001","AQS","44","58"
"02/20/2021","83","PM2.5","Kittanning","42-005-0001","AQS","44","83"
"02/21/2021","75","PM2.5","Kittanning","42-005-0001","AQS","46","75"
"02/22/2021","45","Ozone","Kittanning","42-005-0001","AQS","45","39"
"02/23/2021","41","PM2.5","Kittanning","42-005-0001","AQS",".","41"
"02/24/2021","49","Ozone","Kittanning","42-005-0001","AQS","49","38"
"02/25/2021","39","Ozone","Kittanning","42-005-0001","AQS","39","24"
"02/26/2021","39","Ozone","Kittanning","42-005-0001","AQS","39","37"
"02/27/2021","35","Ozone","Kittanning","42-005-0001","AQS","35","25"
"02/28/2021","29","PM2.5","Kittanning","42-005-0001","AQS","26","29"
"03/01/2021","37","Ozone","Kittanning","42-005-0001","AQS","37","28"
"03/02/2021","38","Ozone","Kittanning","42-005-0001","AQS","38","20"
"03/03/2021","43","PM2.5","Kittanning","42-005-0001","AQS","42","43"
"03/04/2021","48","PM2.5","Kittanning","42-005-0001","AQS","37","48"
"03/05/2021","37","Ozone","Kittanning","42-005-0001","AQS","37","17"
"03/06/2021","38","Ozone","Kittanning","42-005-0001","AQS","38","19"
"03/07/2021","42","Ozone","Kittanning","42-005-0001","AQS","42","29"
"03/08/2021","44","PM2.5","Kittanning","42-005-0001","AQS","39","44"
"03/09/2021","65","PM2.5","Kittanning","42-005-0001","AQS","49","65"
"03/10/2021","77","Ozone","Kittanning","42-005-0001","AQS","77","74"
"03/11/2021","68","PM2.5","Kittanning","42-005-0001","AQS","44","68"
"03/12/2021","43","Ozone","Kittanning","42-005-0001","AQS","43","18"
"03/13/2021","43","Ozone","Kittanning","42-005-0001","AQS","43","20"
"03/14/2021","42","Ozone","Kittanning","42-005-0001","AQS","42","28"
"03/15/2021","41","Ozone","Kittanning","42-005-0001","AQS","41","17"
"03/29/2021","40","Ozone","Kittanning","42-005-0001","AQS","40","."
"03/30/2021","58","Ozone","Kittanning","42-005-0001","AQS","58","30"
"03/31/2021","42","Ozone","Kittanning","42-005-0001","AQS","42","32"
"04/01/2021","35","Ozone","Kittanning","42-005-0001","AQS","35","22"
"04/02/2021","41","Ozone","Kittanning","42-005-0001","AQS","41","20"
"04/03/2021","44","Ozone","Kittanning","42-005-0001","AQS","44","29"
"04/04/2021","54","Ozone","Kittanning","42-005-0001","AQS","54","44"
"04/05/2021","61","Ozone","Kittanning","42-005-0001","AQS","61","52"
"04/06/2021","80","Ozone","Kittanning","42-005-0001","AQS","80","60"
"04/07/2021","66","PM2.5","Kittanning","42-005-0001","AQS","54","66"
"04/08/2021","80","Ozone","Kittanning","42-005-0001","AQS","80","54"
"04/09/2021","45","Ozone","Kittanning","42-005-0001","AQS","45","25"
"04/10/2021","45","Ozone","Kittanning","42-005-0001","AQS","45","33"
"04/11/2021","46","Ozone","Kittanning","42-005-0001","AQS","46","21"
"04/12/2021","29","Ozone","Kittanning","42-005-0001","AQS","29","16"
"04/13/2021","48","Ozone","Kittanning","42-005-0001","AQS","48","33"
"04/14/2021","48","Ozone","Kittanning","42-005-0001","AQS","48","27"
"04/15/2021","31","Ozone","Kittanning","42-005-0001","AQS","31","29"
"04/16/2021","27","Ozone","Kittanning","42-005-0001","AQS","27","26"
"04/17/2021","36","PM2.5","Kittanning","42-005-0001","AQS","23","36"
"04/18/2021","43","PM2.5","Kittanning","42-005-0001","AQS","38","43"
"04/19/2021","47","Ozone","Kittanning","42-005-0001","AQS","47","28"
"04/20/2021","42","Ozone","Kittanning","42-005-0001","AQS","42","35"
"04/21/2021","40","Ozone","Kittanning","42-005-0001","AQS","40","22"
"04/22/2021","41","Ozone","Kittanning","42-005-0001","AQS","41","33"
"04/23/2021","58","Ozone","Kittanning","42-005-0001","AQS","58","53"
"04/24/2021","58","Ozone","Kittanning","42-005-0001","AQS","58","47"
"04/25/2021","44","PM2.5","Kittanning","42-005-0001","AQS","43","44"
"04/26/2021","48","Ozone","Kittanning","42-005-0001","AQS","48","24"
"04/27/2021","77","Ozone","Kittanning","42-005-0001","AQS","77","35"
"04/28/2021","52","PM2.5","Kittanning","42-005-0001","AQS","45","52"
"04/29/2021","31","Ozone","Kittanning","42-005-0001","AQS","31","27"
"04/30/2021","38","Ozone","Kittanning","42-005-0001","AQS","38","20"
"05/01/2021","46","Ozone","Kittanning","42-005-0001","AQS","46","18"
"05/02/2021","54","Ozone","Kittanning","42-005-0001","AQS","54","25"
"05/03/2021","35","Ozone","Kittanning","42-005-0001","AQS","35","27"
"05/04/2021","39","Ozone","Kittanning","42-005-0001","AQS","39","29"
"05/05/2021","26","Ozone","Kittanning","42-005-0001","AQS","26","19"
"05/06/2021","37","Ozone","Kittanning","42-005-0001","AQS","37","18"
"05/07/2021","33","Ozone","Kittanning","42-005-0001","AQS","33","20"
"05/08/2021","35","Ozone","Kittanning","42-005-0001","AQS","35","24"
"05/09/2021","30","Ozone","Kittanning","42-005-0001","AQS","30","19"
"05/10/2021","40","Ozone","Kittanning","42-005-0001","AQS","40","16"
"05/11/2021","34","Ozone","Kittanning","42-005-0001","AQS","34","18"
"05/12/2021","35","Ozone","Kittanning","42-005-0001","AQS","35","15"
