"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"12/17/2002","45","Ozone","Centennial","56-001-9991","AQS","45",".","."
"12/18/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"12/19/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","3"
"12/20/2002","45","Ozone","Centennial","56-001-9991","AQS","45",".","."
"12/21/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"12/22/2002","44","Ozone","Centennial","56-001-9991","AQS","44","30","2"
"12/23/2002","46","Ozone","Centennial","56-001-9991","AQS","46",".","."
"12/24/2002","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"12/25/2002","46","Ozone","Centennial","56-001-9991","AQS","46",".","6"
"12/26/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"12/27/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"12/28/2002","53","PM10","NORTH SITE...NORTH OF MT. CEMENT PLANT","56-001-0801","AQS","48","53","1"
"12/29/2002","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"12/30/2002","49","Ozone","Centennial","56-001-9991","AQS","49",".","."
"12/31/2002","46","Ozone","Centennial","56-001-9991","AQS","46",".","1"
